,Time,Average Demand,Peak,Off Peak
0,2020-03-23 00:00:00,1027.5,0.0,1027.5
0,2020-12-01 00:00:00,1441.0,0.0,1441.0
0,2020-03-24 00:00:00,1012.5,0.0,1012.5
0,2020-12-03 00:00:00,1168.91,0.0,1168.91
0,2020-10-31 00:00:00,1538.0,0.0,1538.0
0,2020-12-07 00:00:00,1138.0,0.0,1138.0
0,2020-12-08 00:00:00,1038.0,0.0,1038.0
0,2020-12-14 00:00:00,1095.27,0.0,1095.27
0,2020-03-07 00:00:00,1411.0,0.0,1411.0
0,2020-03-08 00:00:00,1447.5,0.0,1447.5
0,2020-12-13 00:00:00,1140.0,0.0,1140.0
0,2020-03-09 00:00:00,1576.5,0.0,1576.5
0,2020-12-12 00:00:00,1111.5,0.0,1111.5
0,2020-03-15 00:00:00,1249.0,0.0,1249.0
0,2020-03-10 00:00:00,1714.0,0.0,1714.0
0,2020-03-11 00:00:00,1587.0,0.0,1587.0
0,2020-12-10 00:00:00,1139.5,0.0,1139.5
0,2020-03-12 00:00:00,1512.5,0.0,1512.5
0,2020-03-13 00:00:00,1554.5,0.0,1554.5
0,2020-12-09 00:00:00,1048.5,0.0,1048.5
0,2020-03-14 00:00:00,1370.5,0.0,1370.5
0,2020-12-11 00:00:00,1136.0,0.0,1136.0
0,2020-03-25 00:00:00,1034.0,0.0,1034.0
0,2020-10-30 00:00:00,1802.5,0.0,1802.5
0,2020-03-26 00:00:00,1020.5,0.0,1020.5
0,2020-10-21 00:00:00,1774.0,0.0,1774.0
0,2020-10-07 00:00:00,1956.0,0.0,1956.0
0,2020-10-20 00:00:00,1884.0,0.0,1884.0
0,2020-10-08 00:00:00,1697.0,0.0,1697.0
0,2020-10-19 00:00:00,1777.0,0.0,1777.0
0,2020-10-09 00:00:00,1573.0,0.0,1573.0
0,2020-10-06 00:00:00,1854.0,0.0,1854.0
0,2020-10-10 00:00:00,1811.0,0.0,1811.0
0,2020-10-11 00:00:00,1848.0,0.0,1848.0
0,2020-10-17 00:00:00,1756.0,0.0,1756.0
0,2020-10-12 00:00:00,1547.5,0.0,1547.5
0,2020-10-16 00:00:00,2117.5,0.0,2117.5
0,2020-10-13 00:00:00,1634.0,0.0,1634.0
0,2020-10-14 00:00:00,1828.5,0.0,1828.5
0,2020-10-18 00:00:00,1693.64,0.0,1693.64
0,2020-10-22 00:00:00,1894.5,0.0,1894.5
0,2020-10-05 00:00:00,1671.0,0.0,1671.0
0,2020-10-04 00:00:00,1663.0,0.0,1663.0
0,2020-03-27 00:00:00,1122.0,0.0,1122.0
0,2020-10-29 00:00:00,1881.27,0.0,1881.27
0,2020-03-28 00:00:00,1009.5,0.0,1009.5
0,2020-10-28 00:00:00,1839.5,0.0,1839.5
0,2020-03-29 00:00:00,1115.0,0.0,1115.0
0,2020-10-27 00:00:00,1742.5,0.0,1742.5
0,2020-03-30 00:00:00,1064.73,0.0,1064.73
0,2020-03-31 00:00:00,1052.0,0.0,1052.0
0,2020-10-26 00:00:00,1559.0,0.0,1559.0
0,2020-10-01 00:00:00,1919.5,0.0,1919.5
0,2020-10-25 00:00:00,1637.5,0.0,1637.5
0,2020-10-02 00:00:00,1756.5,0.0,1756.5
0,2020-10-24 00:00:00,2135.5,0.0,2135.5
0,2020-10-03 00:00:00,1699.5,0.0,1699.5
0,2020-10-23 00:00:00,1810.5,0.0,1810.5
0,2020-03-06 00:00:00,1592.0,0.0,1592.0
0,2020-12-15 00:00:00,1111.5,0.0,1111.5
0,2020-03-05 00:00:00,1505.0,0.0,1505.0
0,2020-12-16 00:00:00,1090.5,0.0,1090.5
0,2020-01-07 00:00:00,1321.0,0.0,1321.0
0,2020-04-07 00:00:00,1048.5,0.0,1048.5
0,2020-01-08 00:00:00,1317.5,0.0,1317.5
0,2020-04-06 00:00:00,1062.5,0.0,1062.5
0,2020-01-09 00:00:00,1476.5,0.0,1476.5
0,2020-04-05 00:00:00,1080.0,0.0,1080.0
0,2020-01-06 00:00:00,1345.0,0.0,1345.0
0,2020-01-10 00:00:00,1835.0,0.0,1835.0
0,2020-04-04 00:00:00,1059.0,0.0,1059.0
0,2020-01-12 00:00:00,1404.0,0.0,1404.0
0,2020-04-03 00:00:00,1031.0,0.0,1031.0
0,2020-01-13 00:00:00,1346.0,0.0,1346.0
0,2020-04-02 00:00:00,968.5,0.0,968.5
0,2020-01-14 00:00:00,1350.0,0.0,1350.0
0,2020-01-11 00:00:00,1523.0,0.0,1523.0
0,2020-04-08 00:00:00,1115.0,0.0,1115.0
0,2020-01-05 00:00:00,1187.5,0.0,1187.5
0,2020-04-09 00:00:00,1013.5,0.0,1013.5
0,2020-09-26 00:00:00,1855.0,0.0,1855.0
0,2020-09-27 00:00:00,2093.0,0.0,2093.0
0,2020-04-15 00:00:00,998.5,0.0,998.5
0,2020-09-28 00:00:00,2153.0,0.0,2153.0
0,2020-04-14 00:00:00,1066.0,0.0,1066.0
0,2020-09-29 00:00:00,2348.0,0.0,2348.0
0,2020-04-13 00:00:00,1104.5,0.0,1104.5
0,2020-09-30 00:00:00,1976.5,0.0,1976.5
0,2020-04-12 00:00:00,1002.0,0.0,1002.0
0,2020-01-01 00:00:00,1130.0,0.0,1130.0
0,2020-01-02 00:00:00,1180.0,0.0,1180.0
0,2020-04-11 00:00:00,969.0,0.0,969.0
0,2020-01-03 00:00:00,1239.5,0.0,1239.5
0,2020-04-10 00:00:00,1030.36,0.0,1030.36
0,2020-01-04 00:00:00,1243.0,0.0,1243.0
0,2020-04-01 00:00:00,976.0,0.0,976.0
0,2020-09-25 00:00:00,2061.82,0.0,2061.82
0,2020-01-15 00:00:00,1526.5,0.0,1526.5
0,2020-12-31 00:00:00,1001.5,0.0,1001.5
0,2020-12-22 00:00:00,1055.5,0.0,1055.5
0,2020-01-28 00:00:00,1477.5,0.0,1477.5
0,2020-12-21 00:00:00,1187.5,0.0,1187.5
0,2020-01-29 00:00:00,1414.0,0.0,1414.0
0,2020-01-30 00:00:00,1353.0,0.0,1353.0
0,2020-12-20 00:00:00,1139.5,0.0,1139.5
0,2020-01-27 00:00:00,1429.64,0.0,1429.64
0,2020-01-31 00:00:00,1461.5,0.0,1461.5
0,2020-03-01 00:00:00,1463.0,0.0,1463.0
0,2020-12-18 00:00:00,1218.5,0.0,1218.5
0,2020-03-02 00:00:00,1456.0,0.0,1456.0
0,2020-12-17 00:00:00,1199.5,0.0,1199.5
0,2020-03-03 00:00:00,1622.5,0.0,1622.5
0,2020-03-04 00:00:00,1559.0,0.0,1559.0
0,2020-12-19 00:00:00,1119.0,0.0,1119.0
0,2020-12-23 00:00:00,1090.5,0.0,1090.5
0,2020-01-26 00:00:00,1455.5,0.0,1455.5
0,2020-12-24 00:00:00,987.0,0.0,987.0
0,2020-01-17 00:00:00,1485.82,0.0,1485.82
0,2020-12-30 00:00:00,910.0,0.0,910.0
0,2020-01-18 00:00:00,1551.0,0.0,1551.0
0,2020-12-29 00:00:00,1015.5,0.0,1015.5
0,2020-01-19 00:00:00,1440.5,0.0,1440.5
0,2020-12-28 00:00:00,975.5,0.0,975.5
0,2020-01-20 00:00:00,1523.0,0.0,1523.0
0,2020-01-21 00:00:00,1470.0,0.0,1470.0
0,2020-12-27 00:00:00,1017.0,0.0,1017.0
0,2020-01-22 00:00:00,1400.0,0.0,1400.0
0,2020-12-26 00:00:00,1045.0,0.0,1045.0
0,2020-01-23 00:00:00,1436.5,0.0,1436.5
0,2020-12-25 00:00:00,1234.91,0.0,1234.91
0,2020-01-24 00:00:00,1345.5,0.0,1345.5
0,2020-01-25 00:00:00,1484.5,0.0,1484.5
0,2020-01-16 00:00:00,1434.0,0.0,1434.0
0,2020-02-20 00:00:00,1513.0,0.0,1513.0
0,2020-10-15 00:00:00,1699.5,0.0,1699.5
0,2020-06-08 00:00:00,1177.5,0.0,1177.5
0,2020-06-09 00:00:00,1199.5,0.0,1199.5
0,2020-02-25 00:00:00,1462.0,0.0,1462.0
0,2020-06-03 00:00:00,1045.0,0.0,1045.0
0,2020-02-26 00:00:00,1537.0,0.0,1537.0
0,2020-02-22 00:00:00,1376.5,0.0,1376.5
0,2020-06-13 00:00:00,1055.5,0.0,1055.5
0,2020-06-12 00:00:00,1213.0,0.0,1213.0
0,2020-02-21 00:00:00,1536.5,0.0,1536.5
0,2020-02-29 00:00:00,1422.5,0.0,1422.5
0,2020-06-11 00:00:00,1470.0,0.0,1470.0
0,2020-06-07 00:00:00,1064.73,0.0,1064.73
0,2020-06-06 00:00:00,1129.0,0.0,1129.0
0,2020-02-23 00:00:00,1433.0,0.0,1433.0
0,2020-02-28 00:00:00,1364.0,0.0,1364.0
0,2020-02-27 00:00:00,1677.82,0.0,1677.82
0,2020-06-10 00:00:00,1203.0,0.0,1203.0
0,2020-06-04 00:00:00,1058.5,0.0,1058.5
0,2020-06-02 00:00:00,899.5,0.0,899.5
0,2020-06-05 00:00:00,1123.0,0.0,1123.0
0,2020-02-24 00:00:00,1504.5,0.0,1504.5
1,2020-04-23 01:00:00,913.0,0.0,913.0
1,2020-12-23 01:00:00,1062.5,0.0,1062.5
1,2020-02-01 01:00:00,1332.5,0.0,1332.5
1,2020-12-21 01:00:00,1183.5,0.0,1183.5
1,2020-12-12 01:00:00,1111.5,0.0,1111.5
1,2020-09-16 01:00:00,1728.0,0.0,1728.0
1,2020-11-09 01:00:00,1660.5,0.0,1660.5
1,2020-04-26 01:00:00,1005.5,0.0,1005.5
1,2020-06-25 01:00:00,928.5,0.0,928.5
1,2020-01-27 01:00:00,1296.0,0.0,1296.0
1,2020-07-24 01:00:00,1396.5,0.0,1396.5
1,2020-05-12 01:00:00,913.0,0.0,913.0
1,2020-09-13 01:00:00,1742.0,0.0,1742.0
1,2020-05-31 01:00:00,1069.5,0.0,1069.5
1,2020-03-28 01:00:00,991.0,0.0,991.0
1,2020-02-10 01:00:00,1393.0,0.0,1393.0
1,2020-01-28 01:00:00,1388.5,0.0,1388.5
1,2020-04-24 01:00:00,938.5,0.0,938.5
1,2020-12-11 01:00:00,1157.5,0.0,1157.5
1,2020-03-10 01:00:00,1487.0,0.0,1487.0
1,2020-06-26 01:00:00,945.0,0.0,945.0
1,2020-07-26 01:00:00,1373.5,0.0,1373.5
1,2020-04-25 01:00:00,1048.0,0.0,1048.0
1,2020-12-22 01:00:00,1059.0,0.0,1059.0
1,2020-04-07 01:00:00,1041.5,0.0,1041.5
1,2020-11-08 01:00:00,1840.5,0.0,1840.5
1,2020-03-11 01:00:00,1473.5,0.0,1473.5
1,2020-01-13 01:00:00,1289.0,0.0,1289.0
1,2020-10-22 01:00:00,1916.0,0.0,1916.0
1,2020-10-21 01:00:00,1642.0,0.0,1642.0
1,2020-07-25 01:00:00,1352.0,0.0,1352.0
1,2020-10-28 01:00:00,1784.5,0.0,1784.5
1,2020-05-11 01:00:00,998.5,0.0,998.5
1,2020-02-11 01:00:00,1437.5,0.0,1437.5
1,2020-09-14 01:00:00,2022.5,0.0,2022.5
1,2020-09-15 01:00:00,1646.0,0.0,1646.0
1,2020-10-06 01:00:00,1757.0,0.0,1757.0
1,2020-09-17 01:00:00,1940.5,0.0,1940.5
1,2020-07-23 01:00:00,1125.5,0.0,1125.5
1,2020-10-08 01:00:00,1710.5,0.0,1710.5
1,2020-07-01 01:00:00,899.0,0.0,899.0
1,2020-04-21 01:00:00,923.5,0.0,923.5
1,2020-02-13 01:00:00,1422.5,0.0,1422.5
1,2020-07-21 01:00:00,1220.0,0.0,1220.0
1,2020-12-09 01:00:00,1052.0,0.0,1052.0
1,2020-01-24 01:00:00,1345.0,0.0,1345.0
1,2020-09-20 01:00:00,1501.5,0.0,1501.5
1,2020-04-05 01:00:00,1076.5,0.0,1076.5
1,2020-02-26 01:00:00,1374.5,0.0,1374.5
1,2020-03-14 01:00:00,1257.5,0.0,1257.5
